"","Contig","total_PA"
"526","virus_comp_267_cycle_1",4
"527","virus_comp_269_cycle_1",4
"528","virus_comp_2763_cycle_1",4
"529","virus_comp_2834_cycle_1",4
"530","virus_comp_2876_cycle_1",4
"531","virus_comp_289_cycle_1",4
"532","virus_comp_29_cycle_1",4
"533","virus_comp_300_cycle_1",4
"534","virus_comp_3057_cycle_1",4
"535","virus_comp_31_cycle_1",4
"536","virus_comp_310_cycle_1",4
"537","virus_comp_3274_cycle_1",4
"538","virus_comp_3413_cycle_1",4
"539","virus_comp_3628_cycle_1",4
"540","virus_comp_4306_cycle_1",4
"541","virus_comp_4450_cycle_1",4
"542","virus_comp_4788_cycle_1",4
"543","virus_comp_5061_cycle_1",4
"544","virus_comp_5431_cycle_1",4
"545","virus_comp_5533_cycle_1",4
"546","virus_comp_5536_cycle_1",4
"547","virus_comp_573_cycle_1",4
"548","virus_comp_5758_cycle_1",4
"549","virus_comp_59_cycle_1",4
"550","virus_comp_594_cycle_1",4
"551","virus_comp_658_cycle_1",4
"552","virus_comp_6691_cycle_1",4
"553","virus_comp_6708_cycle_1",4
"554","virus_comp_7_cycle_1",4
"555","virus_comp_721_cycle_1",4
"556","virus_comp_727_cycle_1",4
"557","virus_comp_7297_cycle_1",4
"558","virus_comp_7335_cycle_1",4
"559","virus_comp_744_cycle_1",4
"560","virus_comp_7506_cycle_1",4
"561","virus_comp_766_cycle_1",4
"562","virus_comp_8011_cycle_1",4
"563","virus_comp_8034_cycle_1",4
"564","virus_comp_8052_cycle_1",4
"565","virus_comp_8267_cycle_1",4
"566","virus_comp_842_cycle_1",4
"567","virus_comp_851_cycle_1",4
"568","virus_comp_8677_cycle_1",4
"569","virus_comp_907_cycle_1",4
"570","virus_comp_9091_cycle_1",4
"571","virus_comp_912_cycle_1",4
"572","virus_comp_9530_cycle_1",4
"573","virus_comp_9597_cycle_1",4
"574","virus_comp_988_cycle_1",4
"575","virus_comp_996_cycle_1",4
"576","edge_1060",4
"577","edge_1111",4
"578","edge_1113",4
"579","edge_1310",4
"580","edge_1327",4
"581","edge_1328",4
"582","edge_1356",4
"583","edge_1366",4
"584","edge_1583",4
"585","edge_1595",4
"586","edge_1602",4
"587","edge_1608",4
"588","edge_1755",4
"589","edge_1914",4
"590","edge_1941",4
"591","edge_1942",4
"592","edge_1961",4
"593","edge_1982",4
"594","edge_2257",4
"595","edge_2272",4
"596","edge_2481",4
"597","edge_2534",4
"598","edge_48442",4
"599","edge_48591",4
"600","edge_48629",4
"601","edge_494",4
"602","edge_639",4
"603","edge_729",4
"604","virus_comp_10113_cycle_1",3
"605","virus_comp_10123_cycle_1",3
"606","virus_comp_102_cycle_1",3
"607","virus_comp_1025_cycle_1",3
"608","virus_comp_10291_cycle_1",3
"609","virus_comp_103_cycle_1",3
"610","virus_comp_10315_cycle_1",3
