"","T0-72","T0-66","T0-60","T0-54","T0-48","T0-42","T0-36","T0-30","T0-24","T0-18","T0-12","T0-6","T0"
"virus_comp_155_cycle_1_57",4.90987973602274,4.97751401755743,5.04211905212492,5.10395459867351,7.88226756530962,8.08389573116275,6.65470405473546,6.70290101118672,6.92625787551931,4.12239377229975,6.52732399524763,4.84507496756916,6.21171320466682
"virus_comp_2915_cycle_1_3",8.46688031333638,8.32435005959391,8.1661793044182,7.9885074607691,7.78004495761592,7.50980611390485,7.08580843388255,6.68054558090697,6.29029636985132,5.77497248841454,4.42464642390039,-4.58043545806638,-5.7882127553602
"virus_comp_733_cycle_1_27",-1.75366570005595,-1.29648500163005,-0.623352793603502,0.459845983758224,-3.03974264559615,-3.47481884834513,-2.85007038403878,-2.92364477337658,-2.41114381860994,-2.67680699949976,-2.18570400038535,-2.50086967410233,-1.64637028738787
"virus_comp_3930_cycle_1_11",-0.634313254916572,-0.291995224825993,0.14213111080391,0.517427275093711,-1.78440252785745,-2.76820858634222,-1.91544372619389,-2.01372028342549,-1.54490225609621,-1.55506992647831,-0.505319147171617,-1.49183708809466,-0.478288190793847
"virus_comp_18162_cycle_1_9",-4.34852171295305,2.38077528808649,4.84741648693961,5.7106319436014,-4.70305719218477,-1.02415317520152,6.54034754152023,6.8760350870544,7.12856809985946,7.65576414956672,7.4520774123008,7.69992499030938,7.85200986381045
"virus_comp_155_cycle_1_42",-7.50376452449534,-7.19061721224228,-6.7900966222216,-6.23373693225411,6.29004753910797,6.80489497883136,-6.43700990030596,-6.28678139211863,4.11664861104768,-6.61249809965488,5.77034729410891,-0.533950849150947,6.42875512907405
"virus_comp_69_cycle_1_4",-3.75148700387434,-3.5360541569269,-3.28270709485618,-2.97518913164932,-2.87288912500017,-2.60177388375303,-1.8899352225848,-0.791399273212832,1.06915045149856,1.28073588437906,2.56525524704387,5.67750998694837,4.93429764750023
"virus_comp_18139_cycle_1_1",5.38884258206186,5.25094514086575,5.09846044665434,4.92793321808588,4.6634094161808,4.36599745595493,5.67415546074936,5.70087287159692,5.64023256530982,5.94987551434017,5.10265039243484,2.83298326453739,4.2760109141681
"edge_1847_41",7.00648003429011,6.76344061527496,6.47099481134163,6.10379387764745,7.66915687343987,7.71911245535352,6.80297490638698,6.76227825880959,6.3074590086802,3.99528191701673,5.19990220367953,1.80460675835522,-3.00769798357392
"virus_comp_155_cycle_1_70",-7.74179149476459,-7.43250984014552,-7.03830646923478,-6.49413078100056,-3.8094587190034,3.29822522119446,-6.91795997215701,-6.78440350663673,-2.40013032959606,-6.11887198121235,5.74235363009308,3.65409543246052,6.59377213961772
"virus_comp_17889_cycle_1_34",-1.515620398513,-1.36527152444462,-1.19741163347169,-1.00741736136307,-1.0145104088946,-0.99490152138405,-1.55612017703991,-1.56158020408748,-1.21774094953434,-2.52811800509785,-1.85870079462023,-0.955103675898267,-1.55096299420477
"edge_1468_45",3.13781144394756,3.15646727237265,3.17488493440774,3.19307043449827,0.880682226259082,-2.05161816936621,-1.12388360169663,-1.6255031458124,-0.12208142211169,-0.621103906532156,0.83239487293123,-1.0994743893912,0.0134533056285475
"virus_comp_155_cycle_1_48",6.80491454544108,6.70362282158882,6.59467874619266,6.47683090025497,8.47514037134063,8.68925344427369,7.9443092898351,7.99904876199558,7.92052402236606,7.04674475890568,7.43616499859797,6.56585791736953,7.18697535236104
"edge_284_16",6.47150105047148,6.41287953476342,6.35177477246507,6.28796703757078,5.97266001319068,5.58835442474887,5.46799099571522,5.24655297710047,5.47436792057294,5.29015192705329,5.32329869406115,4.3513801508956,4.54616402477904
"virus_comp_18362_cycle_1_4",-2.0189703245448,-1.86468378927631,-1.69189939376183,-1.49556960490375,-1.54563629928921,-1.2873510071779,-0.57405311423895,-0.112360417454819,0.736635915289,1.00002825911851,1.17195666969984,1.68759179863244,1.80129297816686
"virus_comp_1105_cycle_1_2",-5.98801134323374,-5.71849150570073,-5.38678026904698,-4.95528864916247,-6.17947765610474,-6.52632671047301,-6.17413943094846,-6.1824414819138,-5.52349786279235,-5.42136009350319,-4.71408205415135,-5.29507789149775,-3.93336559253036
"edge_2199_1",-3.05772871948666,-2.79648397794464,-2.47723622371763,-2.06665492242382,-3.17005292204086,-3.08599424156173,-2.26546735495605,-2.05018645940412,-0.421695847727189,1.59942259334435,1.45162971214134,1.69625929670755,2.3265289236901
"virus_comp_62_cycle_1_57",-2.31612381710555,-0.876208439813246,1.72632310258306,2.69001782458894,-2.31301764118207,-0.709165134473608,3.6029604887482,3.95751532947004,4.1881230037068,4.75709360337398,4.56133645261254,4.80223867920082,4.94478689407286
"virus_comp_155_cycle_2_68",-7.63953679998442,-7.33647895201448,-6.95235352606213,-6.42729640837324,-5.04476282567526,-3.90646166342864,-6.82933220549234,-6.69441548471168,-3.02549478961609,-5.83354950147664,5.47143077101437,2.86503393979452,6.40643639158591
"virus_comp_8889_cycle_1_2",-0.321844694932514,2.4718771051283,3.37089385827245,3.92056097773201,-3.89978924120468,-3.94188374477489,3.0432909004488,3.29982423359303,4.38283647945851,4.26205405400278,4.25327406120509,4.65544075800442,5.03074514521257
"edge_2654_3",-9.88746675049347,-9.78323906575987,-9.67089097287623,-9.54904941823798,-8.70344966018542,-8.03342130124727,-7.9603394731998,-7.18100981534419,-7.0843096594091,-6.0974084034331,2.73848616073443,6.95665741369617,7.40552383093891
"virus_comp_155_cycle_2_31",-7.91112909381958,-7.53950453338393,-7.03763504404057,-6.26155838506867,9.08081352973188,9.35748829241258,3.68927913792699,4.90408916545998,7.62999044198705,-7.66988929426061,7.63103156213938,2.48992317442985,7.73579117251587
"virus_comp_506_cycle_1_2",0.737681398037888,2.28409863823944,3.01323004119013,3.4952862909736,-3.53128285904212,-3.70452442024245,1.56331460899097,1.6828462197046,3.59760059471771,2.89740938615485,3.18960612168517,3.71569766519652,4.2204236798986
"edge_4_12",2.81284395495693,2.63879767485252,2.4408364518153,2.21132522684039,2.32085061821103,2.21062056927087,1.74960275003936,1.48995690059448,0.938074050655872,0.760992464516763,-0.415476012727564,-1.06490521352891,-1.5724515908392
"virus_comp_250_cycle_1_149",1.61405866247722,-3.72104128050545,-4.77794879245834,-5.38139233379247,7.98665114259462,8.22596395037839,6.696309347385,6.85946951533353,-5.52133873570341,-9.53332703558432,-8.61239766999398,-9.4048696311838,-8.40609212640835
"virus_comp_1898_cycle_1_9",-2.6649571314415,-2.6398290801342,-2.61425559273751,-2.5882205916444,-1.61392065976985,-0.667835827137528,-1.15078081729734,-0.761052761780745,-1.17422419636115,-1.05333718627642,-1.11356253149072,-0.460550835506283,-0.650723950794565
"virus_comp_2591_cycle_1_4",8.22508928360991,8.017210554356,7.77425310402147,7.48192609965038,7.99304085939528,8.3709491753401,8.35475483699229,8.35443641030109,7.4953212375355,7.84517667244659,6.29487887672158,7.15312234499104,6.16916297176769
"virus_comp_729_cycle_1_16",-2.53185748167585,-4.18441271046043,-4.93452497271943,-5.42554961844287,-3.17197217667922,2.47897621263721,-4.25408008702217,-4.64915479911783,-5.76946119913037,-5.43508788562473,-6.1917648690883,-6.22816872999194,-6.55755577947724
"virus_comp_2591_cycle_1_1",11.3500831354735,11.1213073362327,10.8492884837892,10.5137779316564,10.6675569927482,11.3602988927584,11.1737582401067,11.1253463797615,10.1454311679119,10.7628143372809,3.081671472698,9.53410869769676,-6.57689799964279
"virus_comp_2552_cycle_1_2",3.27423512552338,3.6313709636848,3.91740873929349,4.15601043784585,4.47825275247577,4.5558236077369,4.76600802183759,4.93742893776619,5.23303858261001,5.53440773092844,5.47539893656445,5.13221819732045,5.43425522905399
"virus_comp_155_cycle_1_38",6.97005014798086,7.00369956478824,7.03658199780393,7.06873163354774,9.76352700761456,9.96053755104897,8.51741174128858,8.55312037364358,8.77997126540352,5.99497622812543,8.37879452653259,6.6417463205641,8.02598923129776
"virus_comp_590_cycle_2_57",7.25843973080517,7.03851095635174,6.77891860348555,6.46213823894945,7.72330570287947,7.74336545654192,6.88470084106156,6.80759853989297,6.41602570085183,4.32668264788453,5.23389990866287,2.22579623760663,-3.33434980856965
"virus_comp_2248_cycle_1_15",-1.20620813564994,-0.963738601672345,-0.672118406557569,-0.30622072169382,0.210582466221386,0.264409833534869,0.0986732461889511,0.434280367096539,1.07691435510977,1.50137394808844,1.68326426582565,1.34236150509516,1.69084981758501
"virus_comp_2204_cycle_1_3",-8.8128763613124,-8.96159296030515,-9.09640195424629,-9.21968354409047,-6.019082829743,6.72462201945824,5.35376082002277,6.49121425956842,-7.71317978569939,-8.96091354101947,-8.89784647313058,-9.00123170628171,-8.88742747577574
"virus_comp_1613_cycle_1_3",-3.41112583301053,-2.49470402506427,0.449462496392029,2.67065668897061,2.83393136506465,4.2254041149638,4.76444271940192,4.98401276592961,5.19675721746694,5.78738481834825,5.55307655228472,9.02497054109326,8.11736813873264
"virus_comp_155_cycle_2_28",0.144662699565898,1.86763050322473,2.63068089098828,3.12714413706981,6.75747958921828,6.99891400818062,5.5973106088795,5.69800664821759,5.95945367987196,3.8212951407263,5.6428936676571,4.28182191115514,5.48135577795416
"virus_comp_729_cycle_1_44",-2.36081319827538,-3.47088811362581,-4.09075184712301,-4.52292836576932,-2.672680900573,1.60075592247029,-3.387821073368,-3.74726070158192,-4.79089233752864,-4.43934143398413,-5.21135660678122,-5.18178527153786,-5.53703737221451
"virus_comp_613_cycle_1_15",3.13776917602034,3.24199162108355,3.33918949791277,3.43025021799831,2.52104815370605,1.94577271848056,3.46852880443738,3.63232516988917,3.8431054164543,3.97105841769282,3.72557204638406,2.35720471239469,3.51092927796562
"virus_comp_2438_cycle_1_2",8.05044611086755,7.7308831450233,7.31977893149713,6.74265097723497,9.12208125272836,9.20938833148116,7.89722662688412,7.8027192880697,-6.05066770259915,0.732456758030074,5.96130707586624,3.54956454876229,-5.82592302508959
