,logFC,AveExpr,t,P.Value,adj.P.Val,B
edge_1468_37,0.0952405768418181,0.326879913013538,4.0860548460245,9.06479656345743e-05,0.000676546790029223,1.13937763688179
virus_comp_174_cycle_1_2,0.117059951603008,0.788908432630619,4.38157897214572,0.000114795039704487,0.000776166685371542,1.13628037014743
edge_4_31,0.068355142808437,0.37310207913995,4.16034239817399,9.5689598479408e-05,0.000688859374688777,1.1360562159848
virus_comp_36_cycle_2_2,0.0811765307951315,0.819245310178913,4.00669546128813,9.00881473351246e-05,0.000674779891222791,1.13340242532789
edge_1847_25,0.0863279048278959,0.373559357155049,4.90093805113363,0.000143699213294891,0.000910405550680272,1.13008082093491
virus_comp_155_cycle_2_104,0.0812834586300131,0.355460805680131,4.55094998063005,0.000123254525246067,0.000815231707592008,1.116655051237
virus_comp_3629_cycle_1_5,0.0654995234164279,0.243865536111443,4.20875632438853,0.000100515587863954,0.00071309515963738,1.11639945153932
virus_comp_18153_cycle_1_10,0.105882091305479,0.745385004228536,4.49664219501181,0.000121097581085798,0.000805051776299974,1.11508354053375
virus_comp_152_cycle_1_5,0.107719883517194,0.630182478094073,4.40827621762687,0.000118664044015822,0.000792919227449315,1.11236070477475
edge_1468_43,0.0928142661206448,0.348451907478644,4.08895466968815,9.51096513056343e-05,0.000687723050750649,1.10692362478899
virus_comp_2500_cycle_1_6,0.0939812350261509,0.538467043528278,4.73228233388773,0.000133760990224845,0.000864250761634575,1.10379543437308
edge_3278_1,0.0802773976246414,0.198103344225408,4.12799635614145,9.64855640296346e-05,0.000693312628293826,1.10342161882211
virus_comp_126_cycle_1_3,0.0825172552498314,0.212656860392274,4.39979326298201,0.000114905753768041,0.000776166685371542,1.10117975504339
virus_comp_733_cycle_1_30,0.0645161787737063,0.546921454059327,4.02086109327165,9.24599264749914e-05,0.000681486460059344,1.09755126669119
virus_comp_2382_cycle_1_7,0.0782638236884092,0.585450139919523,4.34614394463902,0.000115431836083129,0.00077663175085878,1.09153091962037
virus_comp_169_cycle_1_11,0.103582159121467,0.581622560798544,4.36695015830578,0.000119739295646427,0.000797378035233188,1.09040725827395
virus_comp_1073_cycle_1_9,0.0665259938015674,0.181290180801766,4.07815564566133,9.52704400023879e-05,0.000687723050750649,1.08669907787406
virus_comp_18153_cycle_1_4,0.0888661941407849,0.554989410293595,5.1307824596014,0.000166649586663079,0.000988002271171934,1.08448024303976
virus_comp_126_cycle_1_84,0.0898570275061887,0.252375122450994,4.48349539649197,0.000125414910389601,0.000821184061495729,1.07002861471469
virus_comp_5098_cycle_1_3,0.0836968710363247,0.443963784898395,4.80930309527545,0.000148708278220315,0.00092803239655395,1.06842389539634
virus_comp_152_cycle_1_2,0.119875813970292,0.879988893895784,4.35585920624817,0.000123627163455791,0.000816315172210623,1.0678244224454
virus_comp_590_cycle_2_2,0.0853898946298667,0.671083206362003,4.3346626280592,0.000119396186701435,0.000796449989446947,1.06720549682864
virus_comp_18153_cycle_1_3,0.0895293786994793,0.58341305717837,5.11620986852532,0.000171092381633496,0.00100722909609237,1.05906317698858
edge_1847_34,0.0886320170433492,0.363540082268091,4.65945917597787,0.000140381081384136,0.000892275848992829,1.05862093417317
virus_comp_7214_cycle_1_3,0.0691424181779288,0.305229379409196,4.03084667121248,9.6889482068975e-05,0.000694937587903896,1.05618604526779
virus_comp_1925_cycle_1_4,0.0596450106071984,0.356484172687415,4.00098632384548,9.51468387811373e-05,0.000687723050750649,1.05615145598045
virus_comp_155_cycle_2_107,0.0788446756881118,0.548784810659408,4.51832631611337,0.000134053434859965,0.000864711017933341,1.04413313993888
edge_1847_12,0.0915301453557286,0.495753535333966,4.64672890593101,0.00014466122137882,0.000912449569827115,1.03265484500446
