"orf_id","mean_abundance","prevalence","max_abundance","cv","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","direction","celiac_direction","abundance_class","prevalence_class"
"virus_comp_1173_cycle_1_6",43.3464052287582,0.0359477124183007,5179,8.95906832113139,0.0597117182312548,1.58781444490481,2.63207017195138,0.00902238858699847,0.0131626164849241,-3.06384238440847,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_11746_cycle_1_1",3.94117647058824,0.0392156862745098,468,8.60551482179624,0.0717173387735757,1.49558428370455,4.37061952468985,3.80561345852118e-05,0.000309331750553004,1.97338344757483,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"virus_comp_11746_cycle_1_2",15.4738562091503,0.042483660130719,1933,8.57166868907634,0.0732212162891976,1.59640086015822,3.79629558373799,0.000287872834817975,0.000965853716819187,0.0896331250305789,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_11746_cycle_1_4",1.54901960784314,0.0359477124183007,220,9.05140258830817,0.0649297986874032,1.45004667223091,3.63545610485045,0.000670699236235829,0.00176396355903782,-0.637451018663264,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"virus_comp_12_cycle_1_1",4.82679738562091,0.0326797385620915,619,10.2448646449566,0.0395500247384494,1.47519387997975,2.06167777075884,0.0402423252324262,0.0473154850167282,-4.3601066278509,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_12_cycle_1_10",52.1895424836601,0.0718954248366013,5440,8.72940425459625,0.0276497003128603,1.85662286031536,1.30640799321218,0.192350746117916,0.20339887439273,-5.5480053930234,FALSE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_12_cycle_1_11",25.1274509803922,0.065359477124183,3451,10.6586538536479,0.0413268033920895,1.66325565130728,1.93803185028842,0.0537256078833639,0.0611977574726419,-4.57620858940362,FALSE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_12_cycle_1_12",49.2058823529412,0.0588235294117647,7459,10.4569199680039,0.0231167493043073,1.67382603440599,1.05646163342327,0.291743906418224,0.302414039665474,-5.84920260766383,FALSE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_12_cycle_1_13",49.140522875817,0.143790849673203,4384,7.84787300114758,0.0139898966854707,2.15128746408401,0.681313788461575,0.49617924307852,0.505328647560819,-6.12417221843334,FALSE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Moderate"
"virus_comp_12_cycle_1_14",14.6503267973856,0.0882352941176471,1770,9.31380986794268,0.0314671078643712,1.74355136728896,1.6687428266106,0.0961863593554258,0.104744902958335,-5.03352447048708,FALSE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_12_cycle_1_2",4.7516339869281,0.042483660130719,856,10.7444826466689,0.047948672396201,1.52529513552811,2.51956878651545,0.0123630765842559,0.0168438121204853,-3.35197614979892,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_12_cycle_1_3",6.66339869281046,0.0620915032679739,1024,10.884581488791,0.0360454152816663,1.5695904018391,2.19958181497158,0.0286735416077409,0.0349139675653329,-4.06489548490563,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_12_cycle_1_4",5.73202614379085,0.0457516339869281,690,9.5971400705239,0.0395645193182316,1.50232439322339,2.28374710940508,0.0232208352415256,0.0288286334929372,-3.89111188136728,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_12_cycle_1_6",111.480392156863,0.0490196078431373,23475,12.4097820286954,0.0210953168258237,1.70520389047482,1.03871706361785,0.299744683507932,0.310557983778781,-5.85663002587524,FALSE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_12_cycle_1_7",322.098039215686,0.101307189542484,44816,11.1534272590942,0.00239904750142109,2.03184115747332,0.106573268687398,0.915213531361488,0.916064101557921,-6.3449714097231,FALSE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Moderate"
"virus_comp_12_cycle_1_8",299.362745098039,0.11437908496732,72040,13.8382160310601,0.0189523319878427,2.17848066537184,0.8435999094774,0.3995510393912,0.409825208975545,-5.9970803993579,FALSE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Moderate"
"virus_comp_12_cycle_1_9",6.27450980392157,0.042483660130719,1271,12.294662218629,0.0435842720326512,1.49716505755204,2.52281368972983,0.0122993653373777,0.0168055790298617,-3.34402290899713,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_12035_cycle_1_1",77.9183006535948,0.0718954248366013,8776,7.22711692492032,0.108813597847419,1.95190583286653,5.14955189890794,5.04590608537893e-07,4.15860543289854e-05,5.93066050241078,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_12035_cycle_1_2",37.078431372549,0.0882352941176471,2280,5.53927121470465,0.100099304076801,1.97070226396407,5.02837969614481,9.0368713879667e-07,5.72512381461185e-05,5.38278637180797,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_12579_cycle_1_1",1.00653594771242,0.0326797385620915,133,8.45892225088332,0.0705219070786824,1.43119139491298,4.40682932039797,1.70779934943679e-05,0.000206662910038587,2.63617254537075,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"virus_comp_12586_cycle_1_1",21.8235294117647,0.0457516339869281,3036,10.1839157594021,0.0583417151203309,1.59870471580591,2.96840690222276,0.0032176466311471,0.00582965929525079,-2.16460322987061,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
