"","T0.72","T0.66","T0.60","T0.54","T0.48","T0.42","T0.36","T0.30","T0.24","T0.18","T0.12","T0.6","T0"
"virus_comp_18131_cycle_1_5",-4.95189236220304,-4.65605650199392,-4.2834840264557,-3.77987624944878,-3.1738393478928,1.62259931459429,2.99354665242417,3.72861144133179,4.58235814256913,4.89269204128459,4.94693490738495,5.10308166898713,5.24361866192218
"virus_comp_18206_cycle_1_9",-7.12179860081004,-6.84929292822154,-6.51304031770297,-6.07380795729642,-5.58225285044617,-5.45954284905953,4.64808402565494,5.6977234379864,5.92452193678967,6.48694848917472,7.08205568109504,7.70580113699227,7.85990809697955
"virus_comp_18206_cycle_1_6",-7.79371021228923,-7.52977266525514,-7.20648879760314,-6.78918884189522,-6.36206224202016,-6.23043583703751,4.60485635659749,6.02312620803851,6.36009256488484,6.976515827124,7.59928037706549,8.21762073320126,8.38780204928158
"edge_187_7",-5.33145115069027,-4.66355706857901,-3.38163709264902,2.70013375152609,3.96610730395836,5.0543297160038,6.06578041566429,6.37453525760628,6.86087999575542,6.78287314776234,7.08418674669785,7.60894789465376,7.61308052107163
"virus_comp_8822_cycle_1_4",-3.84308465266099,-3.5796911107271,-3.2572241440066,-2.84128807747983,-1.9237183817538,-0.836270183673678,-0.134149398402539,1.69491528713761,2.87998566614738,3.31098170830928,3.57299853272256,3.55806430677685,3.89260560150443
"virus_comp_2590_cycle_1_8",-7.84488811845252,-7.57301222816085,-7.23771947275598,-6.80012867836314,-6.03719846368607,2.6324268205335,6.00946549276171,6.69792946140259,7.26981993040026,7.53802451519923,7.71094195274269,7.8485923457157,8.07754913136683
"virus_comp_12691_cycle_1_3",-8.47917423154687,-8.20841238000106,-7.87481495130714,-7.44011632814219,-6.66718594036386,-5.36588616235882,5.08096428730204,6.60125589454111,7.58200803675114,7.79113789530974,8.23186956174771,8.66220707190858,8.82607452229838
"virus_comp_17849_cycle_1_10",-7.14911342805797,-6.83356551091722,-6.42909933735955,-5.86504990445733,-5.48763008815255,1.35864257323689,4.92089693564901,5.77002966448287,6.76226370631192,7.08757423020719,7.15164683353631,7.32008873213452,7.46935050480198
"virus_comp_3732_cycle_1_5",-4.00470737134378,-3.73269589602534,-3.39719658396012,-2.95925278155966,-2.59101098685774,-0.646610655440864,1.51453000696265,2.40634995759531,3.38321656617778,3.74600440048712,3.80807250129255,3.96883636542495,4.13056061632943
"edge_294_39",-4.78094571748083,-4.15366719773792,-3.01871993024994,1.84371548175559,-0.98071645569567,3.82309354781543,5.27665910708494,5.65403671282141,5.903286732996,6.17094391926521,6.26286030278603,6.62314966506746,6.65698754108386
"virus_comp_60_cycle_1_23",-4.43518341405752,-4.17622798873956,-3.86039682210615,-3.45546395923623,-3.03015771362802,-1.07123964631135,1.50366648124679,2.59856939049592,3.58445130606643,3.97625804762887,4.06032992553462,4.30345604452561,4.45027978300668
"edge_294_38",-5.86689827877377,-5.02553118960471,-2.76193908084193,4.39267419746015,0.873610555806896,5.28512548501669,6.75172391609386,7.1115068015544,7.34980091983418,7.63798388068573,7.70154860873732,8.05654914885886,8.07916675680716
"virus_comp_17849_cycle_1_13",-8.44831057969227,-8.12300967059632,-7.70233323234022,-7.10602629846921,-6.61278891129153,4.41645121775733,6.48595155283054,7.2484855526183,8.17579575727936,8.48918324968881,8.5471365147617,8.71191170724327,8.8549241493296
"virus_comp_17848_cycle_1_3",-4.79084289663859,-4.47519339524668,-4.07055987670485,-3.50618292259043,-3.01849747020532,2.00800662879569,3.27477623092738,3.87148636919986,4.63346266847748,4.93740890476484,4.95608643103598,5.13294479045148,5.24544856823876
"virus_comp_4094_cycle_1_2",-5.57589877599547,-5.29694151121912,-4.9507946887345,-4.49446665778332,-4.12801438250933,-2.4003864480628,2.48898566265235,3.78644605275042,4.75239643791414,5.17819182899107,5.30450151402528,5.53086616376578,5.69644059745512
"virus_comp_18480_cycle_1_1",-4.63696810367044,-4.42192070522465,-4.16910691038095,-3.86237523848056,-3.25303250025864,-2.23534376743916,1.61089945562656,2.77241393401372,3.62888289018179,3.67663237009581,4.14706184141758,4.78194039605549,4.85194764693643
"edge_1782_18",-6.40908169747061,-6.09761264084621,-5.69984011764787,-5.14879982586308,-4.76135437377907,0.712791195535829,4.15571079628864,5.01082935115948,6.00158645614572,6.32915408735583,6.39556934517603,6.56273829802956,6.71437411454991
"virus_comp_155_cycle_1_7",-7.51003386552531,-6.97635977478788,-6.12011596870077,-3.72176432518453,-6.28044303812736,-1.21196312502946,5.96925172931146,6.02156023884097,8.43552524392963,8.32059186845585,8.33888067398613,7.5477741155242,8.24683331109646
"virus_comp_155_cycle_2_7",-7.50446032672683,-6.96321591396539,-6.08694249541143,-3.48198231238302,-6.30089092775088,-1.9917465406709,5.94778412775317,5.99156020769956,8.4426609443399,8.32696622087338,8.34527673038264,7.54465526062799,8.25037667093423
"virus_comp_18095_cycle_1_1",-4.82521788651713,-3.4286055553432,3.13978531749,4.72220996482665,-5.4986783172485,-5.10010216649995,4.53565854207435,5.06391930745488,5.80591862481987,6.10884436944596,6.30448642689542,6.93996462991421,6.94807376371149
"virus_comp_285_cycle_1_1",2.49825098918304,2.35451642981262,2.19486089678672,2.01531290972066,1.418094564404,0.811812408033181,0.340556950769187,-0.609072313094513,-0.721439929449448,-1.49874799850215,-1.57640556946861,-1.76518808389594,-1.93570815758343
"virus_comp_36_cycle_2_46",-1.0507060469791,-0.988847901906908,-0.924218198450512,-0.856556879488049,-0.551031223718707,-0.457636075391629,-0.389360740695299,-0.23909099690364,-0.166327323690051,0.103857419742551,0.18580682344303,0.0795825742169406,0.263669830388648
"edge_263_1",1.24755113999829,1.14527379258856,1.03518863098589,0.916004304834756,0.733365789194403,0.719593916723657,0.642238553099129,0.460544889675776,0.2576356682572,0.0791014830938346,-0.279541465139753,-0.465638557471807,-0.649520293425928
"virus_comp_648_cycle_1_7",3.93940207714151,3.82791271089502,3.70708057614378,3.57519542288971,3.45308097009994,3.16022933433761,2.88415558137495,2.69070948744013,2.23378889860846,2.24887385064658,1.85246848183594,1.08302102253937,0.529193546613734
"virus_comp_491_cycle_1_3",2.98370761762689,2.87927127211889,2.76668068326499,2.64455384156664,2.50845750444281,2.23518008501657,1.93999906245609,1.71008555718281,1.63993247736137,1.40927229383299,1.11855337817242,0.192554461828457,-0.201432634709643
"virus_comp_811_cycle_1_1",9.64863390130627,9.56336498264775,9.47273799728335,9.37603415353503,9.10940570075785,8.70642236368343,8.34896141714519,8.04250366347026,8.32785756301283,8.08080070202669,7.86956516494518,6.24020682813012,6.29611837069165
"virus_comp_6916_cycle_1_4",7.58170671569952,7.50001515171541,7.41341873948848,7.32129065936187,7.05800493195311,6.65740430848884,6.3057840705349,6.0116936943247,6.31156268450419,6.08177574999731,5.89452318013399,4.41323103309118,4.51348919060697
"virus_comp_1342_cycle_1_11",3.14609679096654,3.03356681966037,2.91151130192909,2.77816719452134,2.78617461390337,2.87713156279621,2.8007079483149,2.66396693219382,2.54371929423568,2.31790840759159,1.95987172168739,1.78917939022337,1.39827270863087
"virus_comp_7998_cycle_1_6",4.33666668114108,4.20001539779535,4.04905324828728,3.88042837146294,3.68682094345458,3.40009410090348,3.16305475101803,2.9070573360716,2.319997642483,2.10363951667947,1.21538439360742,-0.394319493629545,-1.60651030659815
"virus_comp_301_cycle_1_93",4.21045789606069,4.1098029691522,4.00159523914643,3.88460860959556,4.05434960127044,3.94848153236808,3.51704497086978,3.38040283320272,3.41974075945295,3.30422295668764,3.04277151653282,2.3113929562617,2.16611548985849
"virus_comp_7998_cycle_1_4",4.95412968036735,4.82596351525669,4.68529128459237,4.52940585181611,4.51840147905186,4.27747238654019,3.8482105620265,3.56270526476658,3.48257607527165,3.13006917975554,2.6454341718343,0.235187371957109,-1.14409106712212
"virus_comp_808_cycle_4_15",9.28194713226798,9.19361643322552,9.09952282514025,8.99886152460393,8.79078929106579,8.40055161888503,7.97536284420614,7.65633401662325,7.9549878449314,7.79810161536896,7.53211430005868,5.52642909144306,5.77337003660787
"virus_comp_1260_cycle_2_21",3.29444953700167,3.15028054982452,2.99008873477513,2.8098620341161,2.26586992638341,2.14527860450346,2.20756662685417,1.86238468911756,1.6508876806942,1.18062586224555,-0.403610135336195,-1.1434328467063,-1.79080892364004
"edge_4_40",3.78330167535003,3.60808100267331,3.4085985161497,3.17703884881298,3.37798988181283,3.25715640281741,2.7828014910099,2.52285771546894,1.98436376734343,1.54033328006671,0.188451778272485,-1.24079527068525,-1.9490316677018
"virus_comp_18019_cycle_1_1",2.65460175320593,2.48790805201524,2.29940689675483,2.0825212549628,1.66262821128379,1.9463783188795,1.61509673628711,1.27185782516585,-0.822996915040276,-1.15777234195598,-1.75471172013954,0.643100576007051,-1.38547840241817
"virus_comp_752_cycle_1_10",3.07608121011379,2.96268555446177,2.83961083410385,2.70504919538022,2.5701677480295,2.3085461736016,2.03523474723643,1.8115289289576,1.59324972008313,1.39258477048644,1.00504276175699,0.072815867571555,-0.463657751990393
"virus_comp_12579_cycle_1_1",2.74493978195589,2.63642505369347,2.51907948038882,2.39133741732138,2.12620072146747,1.81550321900156,1.6657725365275,1.46639673015508,1.13280876940257,1.10046644763393,0.655392944451663,-0.0242881303901402,-0.50728798456855
"virus_comp_872_cycle_1_42",-3.22782177161572,-3.15601076700831,-3.08043722701591,-3.00068496953474,-2.35956812188179,-2.00752159583471,-2.06093782562958,-1.77974014166715,-1.60285263896884,-1.26395437294208,-1.04782463296949,-1.15502910126632,-0.704349013199012
"virus_comp_808_cycle_4_12",7.06742929340653,7.01325124040905,6.95695896491795,6.8983807334743,6.58811720247939,6.04872485411242,5.58552461758071,5.2464265388066,5.88330080373236,5.78782650000998,5.71332805156683,3.97916740393876,4.6745793372117
"virus_comp_301_cycle_1_81",3.60278573051163,3.49618069544394,3.38106525741988,3.25596181587272,3.48437644660917,3.39672640049459,2.96980610142755,2.84575515240169,2.84061996243222,2.71198384057805,2.4579031436899,1.797336159832,1.62246791319465
"virus_comp_3464_cycle_1_2",8.66422399939075,8.58312595091151,8.49719619519086,8.4058223205606,8.22079808082952,7.8596442783494,7.46248594533201,7.18405173987158,7.50016758057546,7.36809817489883,7.152346880828,5.65147441421025,5.86923777242033
"edge_4_39",4.06327849241203,3.87502549953352,3.65846846921375,3.40356415994972,3.72668788278201,3.64840074221936,3.12153433437423,2.87564296532986,2.2584026482011,1.79067986270064,0.166901082384941,-1.37848879443245,-2.21393644809104
"virus_comp_2641_cycle_1_5",-9.04175502131772,-9.00916823023351,-8.97582834362436,-8.941699727593,-7.44661463578099,-5.97165564180141,-6.74553287256848,-5.69675291463132,-6.61289573055742,-5.87677513351817,-5.77417331404282,-5.250790033517,-4.88299486487539
"edge_4_37",3.9416631234671,3.71846823046431,3.45430961388476,3.13069355860662,3.88554758444071,3.88441812755743,3.30180830513652,3.15815306228469,2.48264879596529,2.18180596794097,1.05244708937129,-0.645420374356601,-1.90251335555282
"virus_comp_2028_cycle_1_8",9.99991974095851,9.92900541125617,9.85442434229206,9.77577657010221,9.02493626415844,8.74960720838174,8.90774823250532,8.56295751562681,8.88696419767334,8.63057876986191,8.22208833569199,7.80394847296651,7.25536162436928
"edge_4_31",-0.909658746446399,-0.843967601525064,-0.775142010124583,-0.702867799352852,-0.28131101120002,-0.276520272379487,-0.253439507503189,-0.0301298286736459,0.0160004504951718,0.214332343362411,0.401059490471745,0.374074341643311,0.538379397569043
"edge_75_27",-1.31279841332007,-1.13388646026167,-0.929603855602919,-0.691547249801773,-1.11052153329052,-1.06382559288749,-0.87356056434135,-0.739550837029185,-0.492036019967986,-0.185539952945279,0.175477661345843,0.453625323921565,0.730299637547763
"virus_comp_407_cycle_1_14",2.78320078671447,2.68827842369208,2.58666800388178,2.4773551485261,1.01864652280156,-0.735238816707827,-1.22871039320666,-1.74260110709271,-1.72583634108882,-2.2080470128483,-2.17939031709164,-2.28806310811408,-2.41290554167674
"virus_comp_490_cycle_1_6",3.99736238807508,3.88606584317148,3.76546018731265,3.63384482571854,3.52850311439613,3.27759594086983,2.96926705088294,2.7429635624469,2.63226586485627,2.41144830492095,2.05779120199106,1.06353411956711,0.462973535184305
"edge_4_68",-1.98559794622421,-1.91038977604392,-1.83104431221137,-1.74707972500583,-1.57238429288323,-1.3801090507649,-1.20168640551098,-1.00549910883302,-0.941165427714497,-0.662594213856723,-0.576104153585473,-0.185951361166925,-0.0741404220999928
"virus_comp_7998_cycle_1_5",-1.63106474394825,-1.59619755877128,-1.56046678594693,-1.52382855813405,-0.799050494871644,-0.408338654700718,-0.569432710614541,-0.338085667446,-0.470870026967762,-0.290108600338476,-0.229594093055654,-0.125798059445333,-0.0400715127946766
"virus_comp_1260_cycle_2_16",3.48198761703079,3.3188409894938,3.13486442741925,2.92394959595391,2.48100774607354,1.72035292211673,1.6258834999085,1.09352463721686,0.357084348287487,0.727246053080044,-0.970744100001092,-1.93730138247743,-2.21585811625172
"virus_comp_11746_cycle_1_1",5.05200812165897,4.93879396895584,4.81593304916977,4.68162697139294,4.34994376336301,3.9817751336796,3.83222199311396,3.59000108651353,3.15949057120224,3.02418138193158,2.49466419461463,1.69541323342989,0.0700289694291179
"virus_comp_301_cycle_1_54",5.24622599772293,5.10401286859618,4.94623263358694,4.76905352017996,5.15473395840339,5.12219309457492,4.62838270107098,4.50066250518614,4.30243496279519,4.11452261084468,3.68395822717271,2.65824075420462,1.93481166991779
"edge_4_49",2.7165899039775,2.48088736446161,2.19901005125828,1.84834795425954,1.08179833414555,0.998814599396613,0.459454427424547,-0.352950213794292,-1.27644537675019,-1.13755498712707,-2.15515587694433,-2.18663369202015,-2.67812703419444
"edge_4_44",-2.10766516351963,-2.05396930617822,-1.99819741868553,-1.94018249226987,-1.26678120784204,-0.85226989685805,-0.894363582266999,-0.577324281893353,-0.694507224053077,-0.413137814065162,-0.270331133830047,0.196641092747937,0.299180091038988
"virus_comp_126_cycle_1_217",-2.569937763624,-2.5073978745145,-2.44202358882785,-2.37354574163806,-2.08805055773278,-1.81892542459216,-1.82538867170757,-1.6440195081854,-1.67871984517736,-1.58231857943546,-1.51377823023104,-1.41610608247598,-1.36795244767756
"edge_4_62",2.2504991588615,2.0635080074258,1.84861985137768,1.59602626897305,0.82260809997309,0.472599234658293,-0.0984476631422199,-0.649251372100371,-0.999118148493433,-1.05781675326689,-1.69602607491196,-1.84459268389093,-2.17535408532407
"virus_comp_17832_cycle_1_5",-1.52912714152628,-1.49077485881502,-1.45137511884855,-1.41086909605874,-0.773714565217946,-0.448846545919666,-0.542765784825457,-0.320029318808728,-0.454948964767633,-0.261469875239937,-0.179340915836088,0.0169585747092785,0.102434271046656
"edge_4_70",2.60047806825796,2.36132183655066,2.07448594988729,1.71610276916895,2.17457740368723,2.20050246833248,1.58014782909826,1.34607187764033,0.521596634871681,0.387487526921169,-1.1880113680938,-1.5121050040548,-2.03704816328474
"virus_comp_810_cycle_1_1",9.66365095259587,9.58175363112205,9.49492596920597,9.40253609682025,9.19881042215898,8.85357717217864,8.50737263059233,8.24331444860418,8.49130902039896,8.27441378099282,8.09866986108844,6.89526963150016,6.95677687412178
