"contig_id","contrast","onset_timeline_combined","estimate","SE","df","z.ratio","p.value","odds_ratio","conf.low.OR","conf.high.OR","p.adj"
"virus_comp_11746_cycle_1","CELIAC - CONTROL","t0-18",118.342690347528,NA,Inf,NA,NA,2.48643660912893e+51,NA,NA,NA
"virus_comp_11746_cycle_1","CELIAC - CONTROL","t0-24",357.177309699154,NA,Inf,NA,NA,1.31866555896613e+155,NA,NA,NA
"virus_comp_11746_cycle_1","CELIAC - CONTROL","t0-30",401.502272622967,NA,Inf,NA,NA,2.34542457747815e+174,NA,NA,NA
"virus_comp_11746_cycle_1","CELIAC - CONTROL","t0-36",366.339349636833,NA,Inf,NA,NA,1.25648714956147e+159,NA,NA,NA
"virus_comp_11746_cycle_1","CELIAC - CONTROL","t0-over42",393.910513438905,NA,Inf,NA,NA,1.18348388906652e+171,NA,NA,NA
"virus_comp_12_cycle_1","CELIAC - CONTROL","t0",-9.04241337501944,NA,Inf,NA,NA,0.000118285025582738,NA,NA,NA
"virus_comp_12_cycle_1","CELIAC - CONTROL","t0-6",-23.8938146767897,NA,Inf,NA,NA,4.19805509804697e-11,NA,NA,NA
"virus_comp_12_cycle_1","CELIAC - CONTROL","t0-12",-21.1987331938425,NA,Inf,NA,NA,6.21594482101531e-10,NA,NA,NA
"virus_comp_12_cycle_1","CELIAC - CONTROL","t0-18",62.150315856554,NA,Inf,NA,NA,9.8070688679242e+26,NA,NA,NA
"virus_comp_12_cycle_1","CELIAC - CONTROL","t0-24",-52.2432040449422,NA,Inf,NA,NA,2.04674984577014e-23,NA,NA,NA
"virus_comp_12_cycle_1","CELIAC - CONTROL","t0-30",-61.3586679291707,NA,Inf,NA,NA,2.25044861698527e-27,NA,NA,NA
"virus_comp_12_cycle_1","CELIAC - CONTROL","t0-36",-44.3501502976616,NA,Inf,NA,NA,5.48244715394072e-20,NA,NA,NA
"virus_comp_12_cycle_1","CELIAC - CONTROL","t0-over42",-58.7035452926206,NA,Inf,NA,NA,3.20165263594451e-26,NA,NA,NA
"virus_comp_12035_cycle_1","CELIAC - CONTROL","t0",-7.12637778508105,NA,Inf,NA,NA,0.000803625024447379,NA,NA,NA
"virus_comp_12035_cycle_1","CELIAC - CONTROL","t0-6",-21.7313348254073,NA,Inf,NA,NA,3.64922970112006e-10,NA,NA,NA
"virus_comp_12035_cycle_1","CELIAC - CONTROL","t0-12",-13.7637060267514,NA,Inf,NA,NA,1.05316986055701e-06,NA,NA,NA
"virus_comp_12035_cycle_1","CELIAC - CONTROL","t0-18",1.17679495180727,NA,Inf,NA,NA,3.2439604738983,NA,NA,NA
"virus_comp_12035_cycle_1","CELIAC - CONTROL","t0-24",38.7170005787156,NA,Inf,NA,NA,65249878478654120,NA,NA,NA
"virus_comp_12035_cycle_1","CELIAC - CONTROL","t0-30",-28.7469265133737,NA,Inf,NA,NA,3.27618519606683e-13,NA,NA,NA
"virus_comp_12035_cycle_1","CELIAC - CONTROL","t0-36",-19.0182690092857,NA,Inf,NA,NA,5.50136821497729e-09,NA,NA,NA
"virus_comp_12035_cycle_1","CELIAC - CONTROL","t0-over42",30.5364006618875,NA,Inf,NA,NA,18272177467394,NA,NA,NA
"virus_comp_12451_cycle_1","CELIAC - CONTROL","t0",-25.5717520212676,NA,Inf,NA,NA,7.84023724433103e-12,NA,NA,NA
"virus_comp_12451_cycle_1","CELIAC - CONTROL","t0-6",-27.0753294584875,NA,Inf,NA,NA,1.74314622797766e-12,NA,NA,NA
"virus_comp_12451_cycle_1","CELIAC - CONTROL","t0-12",-25.9093419942361,NA,Inf,NA,NA,5.59391344421923e-12,NA,NA,NA
"virus_comp_12451_cycle_1","CELIAC - CONTROL","t0-18",-28.0721777440689,NA,Inf,NA,NA,6.4329194106139e-13,NA,NA,NA
"virus_comp_12451_cycle_1","CELIAC - CONTROL","t0-24",-37.1429985226785,NA,Inf,NA,NA,7.39606467604987e-17,NA,NA,NA
"virus_comp_12451_cycle_1","CELIAC - CONTROL","t0-30",-28.377100583866,NA,Inf,NA,NA,4.7422211597713e-13,NA,NA,NA
"virus_comp_12451_cycle_1","CELIAC - CONTROL","t0-36",-26.2230610227021,NA,Inf,NA,NA,4.08760855319166e-12,NA,NA,NA
"virus_comp_12451_cycle_1","CELIAC - CONTROL","t0-over42",-27.1936101201445,NA,Inf,NA,NA,1.54869245234224e-12,NA,NA,NA
"virus_comp_12586_cycle_1","CELIAC - CONTROL","t0",-0.439605061250189,NA,Inf,NA,NA,0.64429082625604,NA,NA,NA
"virus_comp_12586_cycle_1","CELIAC - CONTROL","t0-6",-4.18923427271523,NA,Inf,NA,NA,0.0151578872381941,NA,NA,NA
"virus_comp_12586_cycle_1","CELIAC - CONTROL","t0-12",-18.7090518751645,NA,Inf,NA,NA,7.49483383939602e-09,NA,NA,NA
"virus_comp_12586_cycle_1","CELIAC - CONTROL","t0-18",-36.8272043114847,NA,Inf,NA,NA,1.01425786383083e-16,NA,NA,NA
"virus_comp_12586_cycle_1","CELIAC - CONTROL","t0-24",-40.2958967806677,NA,Inf,NA,NA,3.16019866162351e-18,NA,NA,NA
"virus_comp_12586_cycle_1","CELIAC - CONTROL","t0-30",32.5953289799168,NA,Inf,NA,NA,143209395583138,NA,NA,NA
"virus_comp_12586_cycle_1","CELIAC - CONTROL","t0-36",-47.2123162834399,NA,Inf,NA,NA,3.13293626748622e-21,NA,NA,NA
"virus_comp_12586_cycle_1","CELIAC - CONTROL","t0-over42",-8.33379678433115,NA,Inf,NA,NA,0.000240258102755933,NA,NA,NA
"virus_comp_1260_cycle_2","CELIAC - CONTROL","t0",-6.48840258322266,NA,Inf,NA,NA,0.00152097670223405,NA,NA,NA
"virus_comp_1260_cycle_2","CELIAC - CONTROL","t0-6",-7.96668142594714,NA,Inf,NA,NA,0.000346828052784546,NA,NA,NA
"virus_comp_1260_cycle_2","CELIAC - CONTROL","t0-12",-211.347122452981,NA,Inf,NA,NA,1.63346920948862e-92,NA,NA,NA
"virus_comp_1260_cycle_2","CELIAC - CONTROL","t0-18",-30.8193082328287,NA,Inf,NA,NA,4.12424539739763e-14,NA,NA,NA
"virus_comp_1260_cycle_2","CELIAC - CONTROL","t0-24",118.453007495326,NA,Inf,NA,NA,2.77643506100723e+51,NA,NA,NA
"virus_comp_1260_cycle_2","CELIAC - CONTROL","t0-30",130.305143016501,NA,Inf,NA,NA,3.89766559615074e+56,NA,NA,NA
"virus_comp_1260_cycle_2","CELIAC - CONTROL","t0-36",-56.6335358915418,NA,Inf,NA,NA,2.53727693549407e-25,NA,NA,NA
"virus_comp_1260_cycle_2","CELIAC - CONTROL","t0-over42",87.2979908504624,NA,Inf,NA,NA,8.1853208489542e+37,NA,NA,NA
"virus_comp_12691_cycle_1","CELIAC - CONTROL","t0",-7.42276917914991,5.38778219594581,Inf,-1.37770401794181,0.168294690329924,0.00059749228931745,NA,NA,0.912567719445071
"virus_comp_12691_cycle_1","CELIAC - CONTROL","t0-6",-27.3125859236414,5930.11498216673,Inf,-0.0046057430599199,0.99632516171378,1.37497450934313e-12,NA,NA,0.999741286164189
"virus_comp_12691_cycle_1","CELIAC - CONTROL","t0-12",34.7457483264445,49586.6532809605,Inf,0.000700707670864039,0.999440916213532,1229948048541010,NA,NA,0.999440916213532
"virus_comp_12691_cycle_1","CELIAC - CONTROL","t0-18",42.0733093909607,129700.28616734,Inf,0.000324388716742518,0.999741175255752,1871570123996204544,NA,NA,0.999741175255752
"virus_comp_12691_cycle_1","CELIAC - CONTROL","t0-24",-28.00481199507,8059.15497718068,Inf,-0.00347490674572769,0.997227431137139,6.88120797195624e-13,NA,NA,0.999931390758161
"virus_comp_12691_cycle_1","CELIAC - CONTROL","t0-30",-9.87371707247694,5.30314509610142,Inf,-1.86186063054084,0.0626227376278319,5.1510902561483e-05,NA,NA,0.216832046202554
