OATI01000137	OATI01000137,HvCF_B5_ms_2,MZ130487_1_94533,3300007853_____Ga0114093_100213,OMGY01000095,ERR589589_NODE_144_length_94594_cov_10.8503,Minot_Diet_SRR5088943_NODE_15_length_93463_cov_32.895405
OBJP01000075	OBJP01000075,3300006746_____Ga0101796_100038,3300007524_____Ga0105481_1000141,3300007362_____Ga0104788_100129,MT774386_1_89781,OFMB01000041,OOAT01000079,ERR844040_ms_1
UMIU01010253	UMIU01010253,OLPO01000071,MZ130476_1_92241,Long_crAss_ms_16
MT774377_1_93787	MT774377_1_93787
MT774383_1_93559	MT774383_1_93559
OBJF01000120	OBJF01000120,ERR844018_ms_3,OLNV01000049,ERR589874_NODE_149_length_91639_cov_83.8167,OLFZ01000126,2_lib200757_5,HvCF_B1_ms_8,MZ130486_1_92361
Rampelli_20005_NODE_59_length_93393_cov_174.533984	Rampelli_20005_NODE_59_length_93393_cov_174.533984,MT774384_1_92668
NG-15813_44_lib254059_NODE_1_length_93391_cov_9.27449	NG-15813_44_lib254059_NODE_1_length_93391_cov_9.27449,MZ130480_1_93391
OLGH01000138	OLGH01000138,Sib1_ms_5,MZ130490_1_92132,ERR589532_NODE_107_length_92376_cov_180.077,OLFZ01000118,OLGB01000200,3300008299_____Ga0114868_1000151,3300014936_____Ga0169833_100099,OBAQ01000124,3300014944_____Ga0134440_100138,OLFY01000217,OBJF01000128,OJNS01000048,OKSB01000084,OHJX01000034,SRS143417_NODE_177_length_89824_cov_37.2496,F6_NODE_4_length_91062_cov_72.306460,3300006476_____Ga0100233_100198,OLRU01000124,3300013946_____Ga0117818_1000018,OICK01000023,OGPZ01000072,OHTD01000013,OLPR01000090,NODE_14_length_91830_cov_15.741215,ERR589826_NODE_133_length_91808_cov_9.52867,ERR589853_NODE_110_length_92253_cov_12.0089,QRFC01000100,NG-14571_65_NODE_5_length_90560_cov_40.8849,EM200_T3_ms_2,ERR589556_NODE_251_length_91714_cov_17.3214,OIWV01000065,OHKK01000062,ERR589737_NODE_250_length_92638_cov_199.421,3300014712_____Ga0134412_100037,ERR589512_NODE_313_length_91996_cov_59.3944,ERR589742_NODE_219_length_92594_cov_6.88142,OGCO01000246,OLNN01000114,NG-14253_9_lib223974_5684_NODE_4_length_59928_cov_398.525,ERR589835_NODE_192_length_92466_cov_11.6977,ERR589848_NODE_206_length_90462_cov_52.7397,3300014744_____Ga0134393_100057,SRS105153_NODE_241_length_90160_cov_456.992
sample-1_23_92914	sample-1_23_92914
MT774394_1_92815	MT774394_1_92815
OGQI01000045	OGQI01000045,ERR843949_ms_3,OKSC01000115,MZ130474_1_92367,A2_NODE_3_length_92367_cov_12.069243,OJNL01000044,OLPH01000160,OGRL01000078
MT774379_1_92600	MT774379_1_92600
sample-1_24_92306	sample-1_24_92306
MZ130488_1_91714	MZ130488_1_91714,Long_crAss_ms_9,3300014963_____Ga0134523_1000562,3300007806_____Ga0105890_100137,3300007222_____Ga0104061_100253,SRS065504_NODE_131_length_90103_cov_73.092,sample-1_352_16508
MT774381_1_91101	MT774381_1_91101,NG-14253_26_lib223959_5684_NODE_2_length_90827_cov_49.5933
MH552500_1_90023	MH552500_1_90023
Long_crAss_ms_3	Long_crAss_ms_3,MT774393_1_83412,NG-14253_14_lib223986_5684_NODE_3_length_83015_cov_1213.7
NC_021803	NC_021803
sample-1_41_65330	sample-1_41_65330
sample-1_347_16656	sample-1_347_16656
sample-1_516_11797	sample-1_516_11797
sample-1_1971_3823	sample-1_1971_3823
sample-1_2023_3705	sample-1_2023_3705
sample-1_2370_3154	sample-1_2370_3154
sample-1_2475_2996	sample-1_2475_2996
sample-1_2809_2618	sample-1_2809_2618
sample-1_2895_2535	sample-1_2895_2535
sample-1_3406_1938	sample-1_3406_1938
sample-1_3423_1921	sample-1_3423_1921
sample-1_3596_1751	sample-1_3596_1751
sample-1_3635_1721	sample-1_3635_1721
sample-1_3684_1680	sample-1_3684_1680
sample-1_3983_1483	sample-1_3983_1483
sample-1_4061_1441	sample-1_4061_1441
sample-1_4226_1355	sample-1_4226_1355
sample-1_4390_1275	sample-1_4390_1275
sample-1_4411_1265	sample-1_4411_1265
sample-1_4677_1147	sample-1_4677_1147
sample-1_4798_1110	sample-1_4798_1110
