"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"edge_1476_19",-3.88383868356032,0.262114549756406,-4.63995188028765,1.00662233678984e-05,0.000837209939257764,3.1269646668111
"virus_comp_17789_cycle_1_6",-5.59996015991115,0.321160770221056,-4.73264258400189,1.05043718157645e-05,0.000855449779746318,3.04060896703268
"virus_comp_720_cycle_1_33",-4.18497927270921,0.176739442607623,-4.86104775979567,1.10316467044654e-05,0.00087941843597756,3.092560073652
"virus_comp_16692_cycle_1_3",-4.60181535499166,0.330714733864544,-4.72827619286191,1.12849484204707e-05,0.00087941843597756,3.04807098510131
"virus_comp_720_cycle_1_5",-3.95285596022502,0.247058045220527,-4.64267228834636,1.14736096789091e-05,0.00087941843597756,3.02499458999761
"virus_comp_17845_cycle_1_5",-3.74773448789482,0.322830131909929,-4.63688840985502,1.18725544015145e-05,0.000879574911340774,3.0013194877033
"edge_2194_32",-5.19056735605761,0.457261186916497,-4.72850439604024,1.19643627729036e-05,0.000879574911340774,2.93284296670332
"virus_comp_8676_cycle_1_3",-7.45318469276195,0.376289363278763,-4.86174886649871,1.22316761639479e-05,0.000879574911340774,2.96709168751015
"virus_comp_2595_cycle_1_3",-4.5569703875248,0.33147763969482,-4.7628177533355,1.2375702257289e-05,0.000879574911340774,2.88213270952308
"virus_comp_12474_cycle_1_2",-4.74892567287605,0.296254366555195,-4.69680496528465,1.31843379493725e-05,0.000906736033403709,2.92614053734171
"virus_comp_36_cycle_2_56",-4.42862240790506,0.334014937132251,-4.564379154815,1.33913176652886e-05,0.000906736033403709,2.88221531461223
"virus_comp_2440_cycle_1_4",-4.00845896809343,0.252225450463031,-4.69133148611633,1.34537451873664e-05,0.000906736033403709,2.90216544415928
"virus_comp_17783_cycle_1_5",-6.51038561110515,1.57647472846875,-4.46027950507353,1.50637348360803e-05,0.00099271620767055,2.67939440703348
"virus_comp_18052_cycle_1_2",-4.49167622420588,0.263512676513184,-4.66284192645457,1.52373938245672e-05,0.00099271620767055,2.78409674087522
