"orf_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"edge_1468_41","fixed","cond",NA,"Delivery.ModeC-Section",-27.3218015973011,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",3.23885755630832,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",-17.8810981095803,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",6.64067006608879,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",7.00487671742981,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",5.9896017971229,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",6.1799987541114,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",1.62025945207824,NA,NA,NA,NA,NA
"edge_1468_41","ran_pars","cond","patientID","sd__(Intercept)",2.64645652768386e-06,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"(Intercept)",-111.511136873789,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"Dx.StatusCELIAC",90.86602864554,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"onset_timeline_combinedt0-6",-38.4281311374095,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"onset_timeline_combinedt0-12",100.734566646648,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"onset_timeline_combinedt0-18",-99.7053826248939,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"onset_timeline_combinedt0-24",100.066352427939,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"onset_timeline_combinedt0-30",100.094134373323,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"onset_timeline_combinedt0-36",100.080813277554,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"onset_timeline_combinedt0-over42",-52.2949231610414,NA,NA,NA,NA,NA
