"","orf","total_PA"
"639","virus_comp_18166_cycle_1_1",6
"640","virus_comp_18166_cycle_1_8",6
"641","virus_comp_18170_cycle_1_3",6
"642","virus_comp_18176_cycle_1_6",6
"643","virus_comp_18182_cycle_1_2",6
"644","virus_comp_18253_cycle_1_2",6
"645","virus_comp_18276_cycle_1_1",6
"646","virus_comp_18364_cycle_1_2",6
"647","virus_comp_1888_cycle_1_1",6
"648","virus_comp_1898_cycle_1_3",6
"649","virus_comp_1925_cycle_1_4",6
"650","virus_comp_2133_cycle_1_5",6
"651","virus_comp_2195_cycle_1_2",6
"652","virus_comp_2195_cycle_1_3",6
"653","virus_comp_2195_cycle_1_6",6
"654","virus_comp_2195_cycle_1_7",6
"655","virus_comp_2195_cycle_1_8",6
"656","virus_comp_2260_cycle_1_6",6
"657","virus_comp_238_cycle_1_167",6
"658","virus_comp_2383_cycle_1_1",6
"659","virus_comp_2383_cycle_1_10",6
"660","virus_comp_2383_cycle_1_3",6
"661","virus_comp_2383_cycle_1_6",6
"662","virus_comp_2383_cycle_1_8",6
"663","virus_comp_2393_cycle_1_2",6
"664","virus_comp_2393_cycle_1_3",6
"665","virus_comp_2393_cycle_1_5",6
"666","virus_comp_2393_cycle_1_6",6
"667","virus_comp_2432_cycle_1_3",6
"668","virus_comp_2438_cycle_1_8",6
"669","virus_comp_2475_cycle_5_3",6
"670","virus_comp_2476_cycle_1_1",6
"671","virus_comp_2477_cycle_1_4",6
"672","virus_comp_2489_cycle_1_6",6
"673","virus_comp_250_cycle_1_100",6
"674","virus_comp_250_cycle_1_101",6
"675","virus_comp_250_cycle_1_111",6
"676","virus_comp_250_cycle_1_14",6
"677","virus_comp_250_cycle_1_142",6
"678","virus_comp_250_cycle_1_143",6
"679","virus_comp_250_cycle_1_144",6
"680","virus_comp_250_cycle_1_147",6
"681","virus_comp_250_cycle_1_153",6
"682","virus_comp_250_cycle_1_156",6
"683","virus_comp_250_cycle_1_158",6
"684","virus_comp_250_cycle_1_175",6
"685","virus_comp_250_cycle_1_179",6
"686","virus_comp_250_cycle_1_198",6
"687","virus_comp_250_cycle_1_199",6
"688","virus_comp_250_cycle_1_2",6
"689","virus_comp_250_cycle_1_200",6
"690","virus_comp_250_cycle_1_203",6
