,02_GEMM_020_12M,02_GEMM_020_18M,02_GEMM_020_24M,02_GEMM_020_30M,02_GEMM_021_12M,02_GEMM_021_18M,02_GEMM_021_24M,02_GEMM_021_30M,02_GEMM_021_48M,02_GEMM_021_60M,02_GEMM_024_12M,02_GEMM_024_18M,02_GEMM_031_12M,02_GEMM_031_18M,02_GEMM_031_24M,02_GEMM_041_12M,02_GEMM_045_12M,02_GEMM_045_18M,02_GEMM_045_24M,02_GEMM_045_30M,02_GEMM_045_36M,02_GEMM_058_12M,02_GEMM_058_18M,02_GEMM_134_12M,02_GEMM_134_18M,02_GEMM_134_30M,02_GEMM_134_36M,02_GEMM_134_48M,02_GEMM_141_12M,02_GEMM_141_18M,02_GEMM_151_12M,02_GEMM_151_18M,02_GEMM_158_12M,02_GEMM_158_18M,02_GEMM_177_12M,02_GEMM_177_18M,02_GEMM_177_24M,02_GEMM_177_30M,02_GEMM_177_36M,02_GEMM_177_48M,02_GEMM_179_18M,02_GEMM_179_24M,02_GEMM_179_30M,02_GEMM_194_12M,02_GEMM_194_18M,02_GEMM_228_12M,02_GEMM_228_30M
contig_11893,231,103,0,0,0,0,0,0,0,0,0,0,0,0,121,5429,0,0,0,0,0,0,1926,0,0,0,9528,636,2154,1033,200,0,0,0,0,5182,2253,0,319,0,0,4425,0,36,0,5598,538
contig_11898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386
contig_11922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,273,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,0,0,0,0,0,0,0,0
contig_11924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2417,0,0,20008,3774,110,244,0,0,0,0,0,0,636,0,0,0,0,0,0,0,390,2602,0,3216,459,0,478,0,0,0,0,601
contig_11943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
contig_11975,0,0,0,0,0,0,0,0,0,0,0,0,553,0,0,0,1040,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,953,0,0
contig_11986,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,1326,0,0,0,0,0,0,0,0,2469,0,0,0,0,0,0,0,0,0,0,0,631,2856,0,0
contig_12,0,0,0,0,0,0,0,0,143,135,152,107,0,0,18863,0,0,0,0,0,0,0,0,0,0,1746,107,0,209,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_12003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,42,0,0,0,0,0,0,0
contig_12022,0,0,0,0,0,0,0,0,0,0,0,0,801,0,885,0,0,0,195,575,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,603,0,495,0,0,0,0,590
