"orf_id","term","estimate","std.error","statistic","p.value","p.adj","conf.low","conf.high","OR","source"
"edge_1631_46","TP (CELIAC): (t0-18) vs t0",-402.128195646985,NA,NA,NA,NA,NA,NA,2.2800460199986e-175,"model_or_emmeans"
"edge_1631_46","TP (CELIAC): (t0-24) vs t0",-440.093982874728,NA,NA,NA,NA,NA,NA,7.40647768490557e-192,"model_or_emmeans"
"edge_1631_46","TP (CELIAC): (t0-30) vs t0",-96.5136466540076,NA,NA,NA,NA,NA,NA,1.21522257794873e-42,"model_or_emmeans"
"edge_1631_46","TP (CELIAC): (t0-36) vs t0",-327.011699007451,NA,NA,NA,NA,NA,NA,9.56364844435738e-143,"model_or_emmeans"
"edge_1631_46","TP (CELIAC): (t0-6) vs t0",-334.303157966194,NA,NA,NA,NA,NA,NA,6.51603206008303e-146,"model_or_emmeans"
"edge_1631_46","TP (CELIAC): (t0-over42) vs t0",-160.545439807796,NA,NA,NA,NA,NA,NA,1.88799742111478e-70,"model_or_emmeans"
"edge_1633_25","TP (CELIAC): (t0-12) vs t0",9.87268121122042e-06,NA,NA,NA,NA,NA,NA,1.00000987272995,"model_or_emmeans"
"edge_1633_25","TP (CELIAC): (t0-18) vs t0",-39.9707447082488,NA,NA,NA,NA,NA,NA,4.37447698179088e-18,"model_or_emmeans"
"edge_1633_25","TP (CELIAC): (t0-24) vs t0",-54.5235052342287,NA,NA,NA,NA,NA,NA,2.09287139781755e-24,"model_or_emmeans"
"edge_1633_25","TP (CELIAC): (t0-30) vs t0",-76.8880915341362,NA,NA,NA,NA,NA,NA,4.05439560712776e-34,"model_or_emmeans"
"edge_1633_25","TP (CELIAC): (t0-36) vs t0",-76.8880915341362,NA,NA,NA,NA,NA,NA,4.05439560712771e-34,"model_or_emmeans"
"edge_1633_25","TP (CELIAC): (t0-6) vs t0",31.768027873809,NA,NA,NA,NA,NA,NA,62615118459207.9,"model_or_emmeans"
"edge_1633_25","TP (CELIAC): (t0-over42) vs t0",-41.1860776571824,NA,NA,NA,NA,NA,NA,1.2975190482865e-18,"model_or_emmeans"
"edge_16_2","CONTROL vs CELIAC @ t0-24",-0.0181195206081384,1.66770800801579,0.0108649239081706,0.99133121551309,1,NA,NA,0.982043650889315,"between_groups"
"edge_16_2","CONTROL vs CELIAC @ t0-30",267.41844881262,1.06246295044216e+58,-2.5169672853188e-56,1,1,NA,NA,1.37517091513604e+116,"between_groups"
"edge_16_2","CONTROL vs CELIAC @ t0-36",256.415696604118,2.75872263144867e+55,-9.29472552554037e-54,1,1,NA,NA,2.29045681860604e+111,"between_groups"
"edge_16_2","CONTROL vs CELIAC @ t0-6",104.67218231686,1.16896555047361e+89,-8.95425722977477e-88,1,1,NA,NA,2.87442637363461e+45,"between_groups"
"edge_16_2","CONTROL vs CELIAC @ t0-over42",0.783698429948309,1.78535710713571,-0.438958921336255,0.660691301709384,1,NA,NA,2.18955522577402,"between_groups"
"edge_16_2","TP (CELIAC): (t0-12) vs t0",-38.2888937064482,NA,NA,NA,NA,NA,NA,2.35149871149019e-17,"model_or_emmeans"
"edge_16_2","TP (CELIAC): (t0-18) vs t0",-25.7280551809209,NA,NA,NA,NA,NA,NA,6.70575380689701e-12,"model_or_emmeans"
"edge_16_2","TP (CELIAC): (t0-24) vs t0",-38.9735538653573,NA,NA,NA,NA,NA,NA,1.18577043037097e-17,"model_or_emmeans"
"edge_16_2","TP (CELIAC): (t0-30) vs t0",-45.2750896033368,NA,NA,NA,NA,NA,NA,2.17409450114908e-20,"model_or_emmeans"
"edge_16_2","TP (CELIAC): (t0-36) vs t0",-45.2750896033368,NA,NA,NA,NA,NA,NA,2.17409450114912e-20,"model_or_emmeans"
"edge_16_2","TP (CELIAC): (t0-6) vs t0",-19.0909995175107,NA,NA,NA,NA,NA,NA,5.11545484618666e-09,"model_or_emmeans"
"edge_16_2","TP (CELIAC): (t0-over42) vs t0",-51.8562650217554,NA,NA,NA,NA,NA,NA,3.01377099564691e-23,"model_or_emmeans"
"edge_16_4","TP (CELIAC): (t0-12) vs t0",-37.6891219720223,NA,NA,NA,NA,NA,NA,4.28373207112941e-17,"model_or_emmeans"
"edge_16_4","TP (CELIAC): (t0-18) vs t0",-32.5466083232751,NA,NA,NA,NA,NA,NA,7.33141156945076e-15,"model_or_emmeans"
"edge_16_4","TP (CELIAC): (t0-24) vs t0",-40.4639630315932,NA,NA,NA,NA,NA,NA,2.67130907440776e-18,"model_or_emmeans"
"edge_16_4","TP (CELIAC): (t0-30) vs t0",-35.4860667148437,NA,NA,NA,NA,NA,NA,3.87790388977189e-16,"model_or_emmeans"
"edge_16_4","TP (CELIAC): (t0-36) vs t0",-54.3838901451901,NA,NA,NA,NA,NA,NA,2.40644868652136e-24,"model_or_emmeans"
"edge_16_4","TP (CELIAC): (t0-6) vs t0",-11.8268547528421,NA,NA,NA,NA,NA,NA,7.30570686540961e-06,"model_or_emmeans"
"edge_16_4","TP (CELIAC): (t0-over42) vs t0",-47.3965531847007,NA,NA,NA,NA,NA,NA,2.60578446527664e-21,"model_or_emmeans"
"edge_16_5","TP (CELIAC): (t0-12) vs t0",-38.5898207863969,NA,NA,NA,NA,NA,NA,1.74041883582023e-17,"model_or_emmeans"
"edge_16_5","TP (CELIAC): (t0-18) vs t0",-24.564427316476,NA,NA,NA,NA,NA,NA,2.14686514593051e-11,"model_or_emmeans"
"edge_16_5","TP (CELIAC): (t0-24) vs t0",-38.0958373114061,NA,NA,NA,NA,NA,NA,2.85225317455127e-17,"model_or_emmeans"
"edge_16_5","TP (CELIAC): (t0-30) vs t0",-35.2387114872461,NA,NA,NA,NA,NA,NA,4.9661753702982e-16,"model_or_emmeans"
"edge_16_5","TP (CELIAC): (t0-36) vs t0",-46.6104210086843,NA,NA,NA,NA,NA,NA,5.71941166418917e-21,"model_or_emmeans"
