qname	tname	num_alns	pid	qcov	tcov
KJ003983_1_99915	ERR589851_NODE_110_length_101537_cov_76.3839	4	78.13	4.01	3.97
KJ003983_1_99915	MT774387_1_102434	1	77.71	1.79	1.75
KJ003983_1_99915	MH675552_1_102679	2	76.09	1.79	1.75
KJ003983_1_99915	MT074136_1_99494	1	74.47	1.76	1.77
KJ003983_1_99915	MT774378_1_101662	2	77.5	1.01	0.99
KJ003983_1_99915	OLYV01000018	2	74.06	1.48	0.84
KJ003983_1_99915	sample-1_347_16656	1	76.27	0.91	5.47
KJ003983_1_99915	OLRZ01000056	1	74.22	1.17	1.19
KJ003983_1_99915	MT774385_1_101437	1	75.03	0.77	0.75
KJ003983_1_99915	MT774388_1_102301	2	73.11	1.38	1.33
KJ003983_1_99915	OMEW01000010	1	93.1	0.09	0.05
KJ003983_1_99915	OHFX01000006	2	90.14	0.14	0.08
