"contig_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"edge_48666","fixed","cond",NA,"onset_timeline_combinedt0-12",34.7035309499702,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"onset_timeline_combinedt0-18",36.6429251473207,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"onset_timeline_combinedt0-24",38.5264830651241,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"onset_timeline_combinedt0-30",11.3201158210304,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"onset_timeline_combinedt0-36",-7.95210709262636,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"onset_timeline_combinedt0-over42",11.9885039671635,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"SexMale",2.44112872029754,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",-0.383597001122687,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"HLA.CategoryHigh Risk",-1.59753087515367,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"HLA.CategoryLow/No Risk",-45.3433968831472,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"feeding_first_yearFormula",3.44848993640469,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-3.0059770325415,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"Delivery.ModeC-Section",2.40252720902245,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",6.25517678601427,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",-13.9740578148797,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",7.805410798295,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",-27.2867224534399,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",32.0405680703489,NA,NA,NA,NA,NA
